source_idx,target_idx,weight
0,424,0.9987109899520874
0,1054,0.7366453409194946
0,2362,0.7255816459655762
0,2006,0.7208561897277832
2,2408,0.7889434099197388
2,570,0.7876865863800049
2,1097,0.7736248970031738
2,531,0.7702332735061646
2,983,0.7700539231300354
2,2943,0.7631258964538574
2,106,0.7628777027130127
2,1748,0.7604135274887085
2,673,0.7527318000793457
4,257,0.7537736892700195
4,1608,0.731330394744873
4,1163,0.7199118137359619
4,1281,0.7086678147315979
4,2955,0.7081062197685242
5,2087,0.7227886915206909
5,214,0.7182127237319946
5,1483,0.7095135450363159
6,2952,0.6531339883804321
8,144,0.7706129550933838
8,1704,0.7680200338363647
8,1121,0.7470441460609436
8,2121,0.7386701703071594
8,1144,0.7281421422958374
8,1171,0.7180996537208557
9,2426,0.747356653213501
9,1683,0.7259937524795532
11,1673,0.7944483160972595
11,2325,0.792978048324585
11,1668,0.7892154455184937
11,1629,0.7848131656646729
11,670,0.7844276428222656
11,1590,0.7772252559661865
11,1076,0.7768493294715881
11,1877,0.7735332250595093
11,2579,0.7676973938941956
11,1855,0.7660892605781555
11,1557,0.7632399201393127
11,2316,0.7624703645706177
12,2328,0.866299033164978
12,2031,0.8402636051177979
12,3295,0.8321943283081055
12,400,0.8207765221595764
12,482,0.8106505870819092
12,979,0.7926960587501526
12,851,0.791832447052002
12,2428,0.7805061936378479
12,2311,0.7668501138687134
12,2832,0.7654178142547607
14,2316,0.7710577249526978
14,1084,0.7434649467468262
14,1841,0.7332760095596313
14,847,0.7249219417572021
14,344,0.7133790254592896
14,1494,0.7116467952728271
14,2681,0.711217999458313
15,842,0.7242605686187744
15,367,0.7102450728416443
15,176,0.7037867903709412
15,277,0.6931333541870117
15,1148,0.6880419254302979
17,3249,0.7701325416564941
17,1599,0.7634939551353455
17,2024,0.7496695518493652
17,2562,0.7433613538742065
17,3193,0.7333664894104004
18,111,0.8004143834114075
18,1600,0.7455065250396729
18,3050,0.7433375120162964
18,2822,0.7330129146575928
20,2397,0.863101601600647
20,158,0.8032318353652954
20,3204,0.7884421348571777
20,295,0.7836288213729858
20,550,0.7765294313430786
20,1172,0.7712631821632385
20,1974,0.7712289690971375
20,886,0.766831636428833
21,48,0.7703380584716797
21,2006,0.7584674954414368
21,2711,0.7368999719619751
21,977,0.7360342741012573
21,2746,0.7343277931213379
21,3291,0.7156230211257935
21,2956,0.7130298614501953
21,1054,0.7103838920593262
22,1700,0.6959038972854614
22,92,0.6947736144065857
22,1635,0.6546022891998291
23,2388,0.7185841798782349
24,1603,0.6523689031600952
25,936,0.7482979893684387
25,1142,0.7376168966293335
26,2466,0.6642287969589233
26,2644,0.6503829956054688
26,1017,0.632112979888916
26,2055,0.6232343912124634
28,2322,0.798340916633606
28,1618,0.7962095737457275
28,551,0.7953193187713623
28,432,0.7925171852111816
28,2308,0.7919386625289917
28,986,0.7891303300857544
28,2314,0.7822844982147217
28,488,0.7780625224113464
29,43,0.7851399183273315
29,909,0.7746592164039612
29,1961,0.7667042016983032
29,2656,0.7555118799209595
29,506,0.7496415376663208
29,3177,0.7490488290786743
29,560,0.7455977201461792
29,2010,0.7418211698532104
29,1355,0.7382055521011353
31,287,0.7913229465484619
31,550,0.7567583322525024
31,438,0.7552680969238281
31,1412,0.746483564376831
31,2962,0.7395667433738708
31,1728,0.7373360395431519
34,559,0.7390016913414001
34,3123,0.7276304364204407
34,661,0.7215986251831055
35,36,0.7363681197166443
35,3258,0.6897541284561157
36,968,0.7698071002960205
36,3037,0.7698071002960205
36,1885,0.7262277603149414
37,2445,0.8048206567764282
37,658,0.7857415676116943
37,1401,0.7763665914535522
37,2594,0.773377537727356
37,673,0.7714145183563232
37,2280,0.7709860801696777
37,43,0.7702654600143433
38,2339,0.6998962163925171
38,2720,0.6829748153686523
39,2725,0.7382680773735046
40,2660,0.6966298222541809
41,112,0.8109093308448792
41,111,0.8102097511291504
41,391,0.8059430122375488
41,2786,0.7754146456718445
41,1559,0.7663868069648743
41,3106,0.7616022825241089
42,2427,0.8294382095336914
42,391,0.8066787719726562
42,2589,0.8027295470237732
42,205,0.7997305393218994
42,1203,0.7949057817459106
42,3273,0.7694505453109741
